"Attr1","Attr2","Attr3","Attr4","Attr5","Attr6","Attr7","Attr8","Attr9","Attr10","Attr12","Attr13","Attr15","Attr17","Attr18","Attr19","Attr20","Attr21","Attr22","Attr23","Attr24","Attr25","Attr26","Attr27","Attr28","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr44","Attr45","Attr46","Attr47","Attr48","Attr49","Attr50","Attr51","Attr52","Attr53","Attr54","Attr55","Attr56","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
-0.024558,0.30051,0.10733,"1.8368","34.382",-0.026711,-0.020067,"2.2519",1.0667,0.67673,-0.156455636987369,"0.025634","6342.5","3.3276",-0.020067,"-0.029744","26.775","1.0853",0.0086596,-0.0230224055498266,"-0.019018",0.67673,"0.042607","0.13691","0.14041",4.5645,"0.44185","-0.029744","74.015","4.9315","0.028816",0.0086596,0.69446,0.84898,0.0081181213087091,"0.026591","0.21468","0.012835","125.61","98.836","-0.4962","1.451","28.56",-0.028702,-0.0269072841473704,"0.78396",0.12826,"0.20278","0.8853","1.1106",3937.6,"0.062497","-0.036289","0.9375",0.288165147104458,"13.632","3.693","69.389",8.31670045220646,"0.8826",0
0.63918,0,1,"?","29.678",-1.1393,0.76052,"?",1.1185,1,4547.60006240255,"0.67994","0","?",0.76052,"0.67994","0","?",0.7604,0.571461779168529,"0.60072",-0.50015,"?","?","?",1.2218,"0","0.67994","0","?","?",0.7604,1.1185,1,0.679839070183281,"?","0","0.67983","9.6341","9.6341","?","?","0",0.7604,0.679839070183281,"?",0,"0","?","?",16.665,"0.67983","0.63918","0.32014",0,"?","37.886","0",6688.17476173836,"?",0
-0.44076,0.47723,0.1926,"1.4678","34.555",0,-0.44076,"1.0954",1.5186,0.52277,-1.0706113823508,"-0.24074","-476.47","2.0954",-0.44076,"-0.29024","0","0.5004",-0.42986,-0.290241011457922,"0.7447",0.46954,"-0.76605","-37.147","0.48672",2.9728,"0.31392","-0.28262","76.67","4.7606","4.1068",-0.4413,1.5186,0.58832,-0.290596602133544,"0.029665","-0.044852","-0.28306","142.31","142.31","?","1.4678","0",-0.50504,-0.332569471881997,"1.2662",0.41169,"0.21006","1.3211","1.4867",180.91,"-0.29059","-0.84313","1.2871",0.125370621879603,"?","2.5649","98.95",3.68869780660205,"3.8376",0
0.11952,0.17679,0.63546,"4.5944","117.65",0.25154,0.14875,"4.5826",1.1263,0.81017,0.841393743990045,"0.1315","306.88","5.6563",0.14875,"0.093023","40.872","0.97491",0.14495,0.106117375477226,"0.31527",0.81017,"1.0241","1.0209","3.3846",5.4536,"-0.18039","0.093023","45.45","8.0308","0.8199",0.14495,1.622,0.81017,0.128695729379384,"2.7023","0.02815","0.090649","76.354","35.482","0.66747","3.5815","46.033",0.083425,0.0740699635976205,"4.5944",0.17679,"0.12452","4.3151","4.3151",180570,"0.11211","0.14752","0.88789",0.0160953873878322,"8.9302","10.287","40.355",6.37083545449403,"8.5169",0
0.2304,0.27095,0.23762,"2.5745","-26.928",0.61754,0.28269,"2.6907",0.80411,0.72905,1.87323570339938,"0.39016","315.23","3.6907",0.28269,"0.35156","46.043","1.4416",0.28433,0.286527962592183,"0.61655",0.62819,"0.9648700000000001","173.05","0.3886",7.2973,"0.33696","0.35156","126.76","3.4578","1.9259",0.36955,0.80411,0.84909,0.459576426110855,"1.1024","0.028638","0.3536","100.84","54.801","2.2714","1.9024","70.95",0.2533,0.315006653318576,"1.4339",0.15091,"0.2892","1.1923","1.3886",2.5745,"0.45957","0.31602","0.6232",0.164652630135107,"7.9274","6.6605","68.502",5.32840766019482,"1.315",0
0.15255,0.47011,0.018859,"1.0406","-39.998",0,0.15255,"1.1272",1.9155,0.52989,0.32859450726979,"0.091232","981.88","2.1272",0.15255,"0.07964","34.977","1.0724",0,0.0796397807361002,"0.22983",0.095462,"0.37174","0","0.036485",4.0682,"0.24418","0.15928","108.6","3.3608","3.319",0.0085575,1.9155,0.52989,0.00446750195771339,"0.018452","0.70567","0","90.425","55.448","0.83108","0.64524","42.94",-0.022206,-0.011592795614722,"1.0277",0.46425,"0.29755","1.0252","1.0252",220.67,"0.18545","0.28788","0.81964",0.0110588990167771,"10.436","6.5827","88.464",4.12600969305331,"3.7058",0
0.036332,0.25392,0.42075,"3.0936","52.16",-0.013645,0.037068,"2.9382",1.5236,0.74608,0.184454617834395,"0.08481","717.26","3.9382",0.037068,"0.024329","51.541","0.96884",0.044479,0.0238461538461538,"0.11615",0.57667,"0.50598","2.9467","1.1122",5.054,"0.026201","0.02497","50.076","7.289","5.7688",0.058786,1.5236,0.74608,0.0385836177474403,"1.0983","0.06195","0.029193","96.063","44.522","0.16887","2.0231","53.609",-0.04767,-0.0312877395641901,"2.4484",0.20096,"0.13719","1.9722","1.9722",47646,"0.038584","0.048697000000000004","0.9765",0.0709843448423762,"7.0818","8.1981","48.144",7.58160828025478,"4.0276",0
0.11767,0.37332,0.26743,"2.3229","18.308",0.14871,0.14571,"1.6787",1.1986,0.62668,0.720801385110067,"0.18652","833.46","2.6787",0.14571,"0.16624","76.392","1.3816",0.13334,0.0981728683464041,"0.1902",0.62668,"0.36282","1.8232","0.50418",4.9982,"0.33873","0.16624","100.89","3.6177","0.35716",0.13334,0.88891,0.79785,0.111246454196563,"0.6139","0.081222","0.15212","143.86","67.471","0.64144","1.4154","91.56",0.11556,0.0964124812280994,"1.2578",0.20215,"0.27642","1.1815","1.5042",26632,"0.16567","0.18777","0.83433",0.273137805578605,"4.778","5.4098","84.179",5.92926045016077,"1.6525",0
0.034426,0.84574,0.0003502,"1.0006","-64.815",-0.006477,0.043455,"0.18039",1.0484,0.15256,0.0761406644238856,"0.10405","2593.5","1.1824",0.043455,"0.037987","58.226","1.5275",0.052525,0.032836703548264,"-0.0050601",0.15256,"0.13006","0.48136","0.00081645",4.7943,"0.73764","0.037987","190.91","1.9119","0.062105",0.052525,1.1552,0.42759,0.0501001526135063,"0.0046148","0.21707","0.045915","181.37","123.14","0.18865","0.68087","61.042",-0.023046,-0.0219820679130103,"0.67523",0.57072,"0.52303","0.35569","0.99687",21.81,"0.046134","0.22565","0.95387",1.813843733613,"6.2687","2.964","182.1",1.83697785253715,"2.667",0
-0.13918,0.99555,-0.012322,"0.98712","-98.196",-0.14454,-0.13918,"0.0044739",2.1387,0.004454,-0.145444285370926,"-0.054878","-3096.1","1.0045",-0.13918,"-0.065076","97.696","0.85659",-0.11765,-0.0650769158834806,"-0.14795",-0.024494,"-0.11789","-5.466","-0.22246",3.2373,"0.45822","-0.056404","158.17","2.3077","2.2182",-0.069644,2.1387,0.004454,-0.0325637069247674,"0.028436","-0.34625","-0.055011","156.57","58.873","-0.24313","0.38892","94.615",-0.13946,-0.0652078365362136,"0.94884",0.95693,"0.43333","0.080416","0.080416",-21.282,"-0.032564","-31.247","1.0615",8.66995958688822,"3.7361","6.1997","163.32",2.23495971492168,"38.613",0
