,Attr1,Attr3,Attr4,Attr5,Attr6,Attr9,Attr10,Attr12,Attr13,Attr15,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr26,Attr27,Attr29,Attr30,Attr31,Attr33,Attr35,Attr39,Attr40,Attr41,Attr42,Attr43,Attr45,Attr47,Attr48,Attr51,Attr52,Attr53,Attr55,Attr56,Attr57,Attr58,Attr59,Attr61,Attr63,Attr64,Attr68,Attr69,Attr70,class
0,-0.024558,0.10733,1.0585257874951899,34.382,-0.026711000000000002,0.741494865897675,0.67673,-0.15645563699999998,0.025633999999999997,6342.5,-0.020066999999999998,-2379.55025618642,3.3241363355256897,1.0853,0.0086596,-0.023022406000000002,-0.019018,0.042607,0.13691,4.5645,0.44185,-0.029744,1.7802771321190198,0.0086596,0.008118120999999999,0.026591000000000004,0.21468,0.012835,11.6624363403903,-0.4962,3.50226971619944,-0.028702,0.120676622969542,0.18463554412568497,6.9427220531068805,13.1392570719729,0.062497000000000004,-0.036289,0.9375,5.7098776335342505,1.54674304538806,8.803515795276999,0.6326616615682641,9.93850740706233,6.52286774619468,0,0
1,0.63918,1.0,1.86669670459084,29.678,-1.1393,0.7658728763811969,1.0,4547.6000619999995,0.67994,0.0,0.76052,3187.18230620201,0.0,1.103376,0.7604,0.571461779,0.60072,1.508268,24232.1711433333,1.2218,0.0,0.67994,2.41918431711086,0.7604,0.67983907,2.14789302,0.0,0.67983,11.6614371391626,2.80101125,1.5327080445753702,0.7604,0.0,0.0,6.944196571155221,13.1315166877507,0.67983,0.63918,0.32014000000000004,5.70892246391631,3.66071529398182,9.498332478512431,1.7338612366916901,1.1185,6.52289216139423,1,0
2,-0.44076000000000004,0.1926,0.921524611200747,34.555,0.0,0.9364740710041121,0.52277,-1.070611382,-0.24074,-476.47,-0.44076000000000004,-10640.158034321701,0.0,0.5004,-0.42986,-0.290241011,0.7447,-0.76605,-37.147,2.9728,0.31392,-0.28262,1.7510416359494998,-0.4413,-0.290596602,0.029664999999999997,-0.044851999999999996,-0.28306,11.662580138606,-2.2985740000000003,1.5327080445753702,-0.5050399999999999,0.34478756822492707,0.19066994515612604,6.943142789407389,13.1318421317362,-0.29059,-0.8431299999999999,1.2871,5.70933813708434,1.272019256099,8.80282040876967,1.57642178934047,7.88473520249221,6.52287240606887,0,0
3,0.11952,0.63546,1.72983424157374,117.65,0.25154,0.769492754557247,0.81017,0.8413937440000001,0.1315,306.88,0.14875,42914.161289836404,3.73461734578779,0.97491,0.14495,0.106117375,0.31527,1.0241,1.0209,5.4536,-0.18039000000000002,0.09302300000000001,2.2006409570816805,0.14495,0.128695729,2.7023,0.02815,0.09064900000000001,11.6620120926739,0.66747,3.9252096778323198,0.083425,0.16279039264832001,0.117356277941595,6.9460285241986295,13.4373945309077,0.11210999999999999,0.14752,0.88789,5.708975838722299,2.42393067302448,8.80322347573491,2.25307072064917,1.7724168319013,6.52286953328131,0,0
5,0.15255,0.018859,0.735209525527446,-39.998000000000005,0.0,1.08108321488933,0.52989,0.328594507,0.09123200000000001,981.88,0.15255,11012.4586694358,3.58287984539075,1.0724,0.0,0.07963978099999999,0.22983,0.37174,0.0,4.0682,0.24418,0.15928,1.4726555267679298,0.008557500000000001,0.004467502,0.018452,0.70567,0.0,11.662133306215802,0.8310799999999999,3.8622170254925297,-0.022206,0.381343165987755,0.2604778709609,6.942857136668921,13.1319208984446,0.18545,0.28788,0.8196399999999999,5.7089591372512105,2.02628468298711,8.802886138322801,1.5487989355146299,101.569542393552,6.52287183454771,0,0
6,0.036331999999999996,0.42075,1.42043464263067,52.16,-0.013645,0.9384321905980291,0.74608,0.18445461800000001,0.08481,717.26,0.037068000000000004,7171.31392354456,3.96159381719389,0.9688399999999999,0.044479000000000005,0.023846153999999998,0.11615,0.50598,2.9467,5.053999999999999,0.026201,0.02497,2.11492933460939,0.058786,0.038583618,1.0983,0.06195,0.029193,11.6621818702084,0.16887,4.06456725277626,-0.04767,0.18312123696451899,0.128560307228081,6.9437710541115,13.2217144726106,0.038584,0.048697000000000004,0.9765,5.709157837621441,2.21933935525887,8.803405375353,1.61494567681471,3.62115270350564,6.522880098958209,0,0
7,0.11767000000000001,0.26743,1.2143841180191002,18.308,0.14870999999999998,0.802436916710601,0.62668,0.720801385,0.18652,833.46,0.14570999999999998,26659.702937502403,4.34888341608063,1.3816,0.13334000000000001,0.09817286800000001,0.1902,0.36282,1.8232,4.9982,0.33873000000000003,0.16624,1.52989674563458,0.13334000000000001,0.11124645400000001,0.6139,0.081222,0.15212,11.662593484098402,0.64144,4.56633267940179,0.11556,0.184111620340451,0.24405928436845,6.9430080340379,13.1829183497365,0.16567,0.18777,0.8343299999999999,5.70982784554304,1.8583193990667501,8.80315712778468,0.975508171132282,4.481920502561421,6.522869350063419,0,0
8,0.034426,0.0003502,0.7158470773029371,-64.815,-0.006476999999999999,0.7327384981078571,0.15256,0.076140664,0.10405,2593.5,0.043455,6484.15006126871,4.0813606346638105,1.5275,0.052525,0.032836704,-0.0050601000000000005,0.13005999999999998,0.48136,4.7943,0.73764,0.037987,1.0688057890854399,0.052525,0.050100153,0.0046148000000000005,0.21706999999999999,0.045915,11.6629163907187,0.18865,4.18468331402193,-0.023046,0.45153411296207396,0.42070177168356604,6.94221051101522,13.1315268839409,0.046133999999999994,0.22565,0.9538700000000001,5.71491959351926,1.37804797797293,8.80254204069653,1.29937792507777,2993.71787549971,6.52286783886343,0,0
9,-0.13918,-0.012322,0.709236549689328,-98.196,-0.14454,1.15406938571867,0.004454,-0.145444285,-0.054877999999999996,-3096.1,-0.13918,-4377.1721430974,4.59204441876916,0.85659,-0.11765,-0.065076916,-0.14795,-0.11789000000000001,-5.466,3.2373,0.45821999999999996,-0.056403999999999996,1.19625308381072,-0.06964400000000001,-0.032563707000000004,0.028436000000000003,-0.34625,-0.055011000000000004,11.6627029104183,-0.24313,4.597598593691719,-0.13946,0.6713769187399762,0.360000408447308,6.94194452473657,13.1314414824346,-0.032563999999999996,-31.247,1.0615,5.73726859077526,1.9744767949173898,8.80260187563538,3.67915772083035,-173.56760266190602,6.52287161882005,0,0
10,0.0030055,-0.046808999999999996,0.6560884087264699,-114.66,-0.028901,0.6818743806299029,0.14423,0.0075817969999999995,0.051587,7164.7,0.0030055,517.357460996988,3.9467528806158296,0.78584,0.031181,0.0031797170000000003,-0.034145999999999996,0.050944,0.36279,4.9372,1.0118,0.0036994999999999997,1.1531636032726102,0.031181,0.032988436,0.2578,0.38591,0.038382,11.6623118994969,0.026598,3.9630335598485202,-0.007722499999999999,0.33390465749494397,0.3792717032255539,6.942081108639179,13.123422616212801,-0.057967,0.020838,1.058,5.719429024755629,1.9526374839946699,8.802624346235019,0.81053671658328,-20.192911619560302,6.52286777376472,0,0
11,0.056009,0.047054,0.7635212976877859,-30.895,0.056009,0.72293459744387,0.51649,0.119679908,0.037367000000000004,1633.1,0.056009,5993.9295723920895,3.5941016325817996,0.81258,0.069275,0.054478164,0.056009,0.2235,0.8829540000000001,4.4619,0.14637,0.019367,1.94743755340773,0.069275,0.067381578,0.13643,0.13101,0.023954,11.6618448712291,0.19977999999999999,3.71378423931606,0.017218999999999998,0.38389411818002095,0.15389636177687802,6.94289556311188,13.1341810725579,0.027344999999999998,0.10844000000000001,0.9726600000000001,5.70902210871429,2.88653942945283,8.80259614492036,1.9406843468767399,21.849364559867396,6.522867754072339,0,1
12,0.086872,0.029639999999999996,0.750858857988032,1.4603,0.3028,0.728017579418255,0.38067,0.21554723,0.044432,1600.4,0.086872,5220.382097382871,0.9314157696192241,0.84129,0.10661,0.083643366,0.3028,0.22805999999999998,0.3483,3.8848,0.087399,0.027326999999999997,2.15115736922144,0.10661,0.102647795,0.85736,0.12648,0.033537,11.661440327658301,6.4851,1.8290713103617902,0.052238,0.33863418364296305,0.12369441784631201,6.94251507625968,13.1319340916578,0.037132,0.22821,0.9628700000000001,5.710805009453349,3.7868939308271403,8.802653294027529,1.8875717653751103,35.0404858299595,6.522867795489059,0,0
13,0.0046029,0.043685,0.847463132443311,-18.305,0.0,0.894115059131549,0.47188,0.043931070999999995,0.095398,1430.2,0.0066538,310.684592661091,3.31444051773587,1.1318,0.038914,0.003257998,0.084999,0.25132,1.2003,3.6325,0.37381,0.0047098,2.3096302177206804,0.038942000000000004,0.027563703,0.029220999999999997,0.10539000000000001,0.027544,11.6617787641341,0.044863,3.46228307363999,-0.08920800000000001,0.141030702376074,0.104576208169102,6.9424332858051505,13.131855068444901,0.027563999999999998,0.009754299999999999,0.99529,5.7115660304068205,2.8353375627758504,8.80366766631756,1.01353170104991,32.3406203502346,6.522872832119041,0,0
14,-0.07748,0.054872000000000004,0.7998103973340981,-14.144,0.0,0.896810620564103,0.5461699999999999,-0.253857999,-0.051413,-2269.9,-0.07748,-10407.791054857,3.3496233461161102,0.99492,0.0,-0.054586445,0.12525,-0.1608,-27.138383666666698,4.6892,0.30018,-0.10894000000000001,1.6907044862624498,0.0010874,0.000766098,0.09366100000000001,3.3571,0.0,11.6620886938293,-0.72473,3.51258072363424,-0.0045062,0.26636394736872604,0.20382208823995698,6.94269135501958,13.1367860685657,0.048856000000000004,-0.14185999999999999,0.95201,5.709824450364519,1.99102692151395,8.802964975698009,1.16876464768951,25.8674733926228,6.52287239469432,0,0
15,-0.005773899999999999,0.18302000000000002,2.04950011249594,95.712,0.061574000000000004,0.6876576405687509,0.9650700000000001,-0.098768904,0.078378,402.6,-0.0031609999999999997,-368.77198980629,4.424750818883661,1.0,-0.011261,-0.0060353509999999996,0.0879,0.8249799999999999,-0.29101,4.5482,-0.015455000000000002,-0.0085387,2.57192497119796,-0.011261,-0.011770916000000001,1.3359,0.050307,-0.030418999999999998,11.662817231343999,-0.06901,4.4254416643706795,-0.043438,0.0315025430208516,0.0794634630206626,6.9430542737791905,13.1442184068854,-0.045285,-0.0059828,1.0453,5.708932518399191,1.64504635920183,8.80675132997098,0.386367096512027,5.2271882854332805,6.52286685782293,0,0
16,0.085367,0.31753000000000003,1.0595314857269398,40.13,0.0,0.8270095808953699,0.53617,0.225760982,0.12164000000000001,1109.8,0.085367,10962.654337624499,3.54671086809375,1.3994,0.0,0.068070329,0.13777999999999999,0.32889,0.0,4.6442,0.29565,0.15145,1.29321918184013,0.011317,0.009024001,0.50468,0.23014,0.0,11.6626199162576,0.7373,3.84790466266994,-0.06718099999999999,0.320727507764406,0.320742020078104,6.943567979914781,13.1588418725739,0.20265999999999998,0.15922,0.81452,5.709452383185821,1.44143339989378,8.802764475357131,1.63329403868193,3.9495480741977103,6.52287505146796,0,0
17,-0.41218,-0.2954,0.40394328405446,-294.87,-1.074,0.337379681911024,-1.3649,-0.76407452,-0.7924899999999999,-2952.6,-0.41218,-19711.3571395902,5.160204064418401,0.4609,-0.32108000000000003,-1.117321767,-1.3289,-0.12362000000000001,-3.2967,3.6564,6.4056,-0.894,0.829555680339494,-0.32823,-0.8897533209999999,0.0078817,-0.3917,-0.8703700000000001,11.6633973291025,-2.3547,4.5672574969980895,-0.44091,0.43142520977769605,0.5731354131249731,6.94012033418478,13.128826446703998,-0.88976,0.30199000000000004,2.0727,5.7044773748671105,1.90214485405844,8.80236865163737,0.397436162212149,-1.24881516587678,6.52286946631974,0,0
18,0.038360000000000005,0.28534,1.1034402817969198,-8.4639,0.16002,1.18340400959843,0.61026,0.175964674,0.043525,1463.6,0.051803999999999996,2886.9546534213,4.0064782744458105,1.0437,0.056777999999999995,0.017177914,0.19875,0.21489,6.0695,3.8094,0.16512000000000002,0.026701,2.12750525156905,0.056366999999999993,0.025241592,0.089548,0.12715,0.025425,11.662133504335499,0.11621,4.09402284380961,0.011385,0.25804726732209,0.126852890995924,6.94326922671502,13.1351234206824,0.025241,0.062858,0.97685,5.709440421554531,2.39827248346366,8.80340592363898,1.84272421965095,7.82610219387398,6.5228755726276795,0,0
19,0.15342999999999998,0.13754,0.965849743261945,7.2797,0.0,0.823329032230245,0.58702,0.804347826,0.18203,664.78,0.19018,13525.8926038775,3.5300302535051205,1.1639,0.21778000000000003,0.12316769699999999,0.45098,0.46006,7.8398,4.0533,0.31196,0.17,1.68871109332861,0.20990999999999999,0.16850766600000003,0.12125999999999999,0.054124,0.17482,11.6622259444262,1.3572,3.78828804213988,0.18120999999999998,0.21223628274215697,0.20427057176162802,6.94277266088765,13.131486795568302,0.16851,0.26137,0.84921,5.709919291904769,1.85102632263518,8.80305784843031,1.09524489201333,9.05700159953468,6.52287396673589,0,0
20,0.071099,0.020497,0.7336262362834131,-61.146,0.0,0.8742058569226558,0.43412,0.164166121,0.12435999999999998,1217.1,0.090206,18084.0578924805,4.10500421240592,1.1759,0.10825,0.052102447999999996,0.22086,0.26614,5.7852,5.0896,0.37869,0.0788,1.19972379003652,0.090309,0.066179833,0.090167,0.10047,0.079324,11.662553360984099,0.31884,4.22684396419407,0.028747,0.43791939077288394,0.358506266044306,6.942841978093081,13.136464290581902,0.066178,0.16378,0.93514,5.709047735719,1.7211850084020799,8.80263923164342,1.4287345975800902,66.5755964287457,6.52287182111058,0,0
21,0.10778,0.56509,1.5877890579087701,69.887,0.1373,0.7762794184086099,0.78177,0.600382987,0.19214,413.33,0.11914000000000001,35620.9553900983,3.7400952454982104,1.5477,0.11194000000000001,0.094460999,0.18338,0.8258,1.4004,5.4893,0.08534299999999999,0.13063,1.61506206718432,0.11194000000000001,0.098106924,2.2107,0.038825,0.12274000000000002,11.662474143242099,1.0494,3.9421001199246297,0.05584600000000001,0.181020711060906,0.221742570398582,6.945056844055951,13.428260052202,0.12355,0.13785999999999998,0.87645,5.70900640895726,1.6310134965248897,8.80313016939917,1.5804240105074099,2.01914739245076,6.522869814051861,0,0
22,-1.0561,-0.9687399999999999,0.272618433391774,-232.88,0.006412,0.668183668779701,-0.32608000000000004,-0.797899668,-1.0898,-483.65,-1.0561,-48297.1708199118,4.1113655465564,0.56942,-1.0325,-1.1500348459999998,-0.64947,-0.75467,-38.381,3.6117,1.4299,-1.1224,0.871084139036076,-0.92076,-1.0026570259999998,0.03557,-0.045236,-1.1243,11.6624080088425,-6.9924,3.5440184083799497,-1.0878,0.84311770713624,0.542144042023383,6.94137822885194,13.1236002122087,-1.0026,3.2387,2.1297,5.70889724191781,1.92613739302727,8.80237014940357,0.8851776199188621,-0.9479530111278571,6.52286872421655,0,0
23,0.10135,-0.049117,0.651355445159623,-96.303,0.0,0.772730244151785,0.48086,0.313801139,0.17039,981.27,0.12119,7563.95641800338,4.33964091817744,1.062,0.13951,0.089429101,0.16117,0.33374000000000004,7.1987,3.9227,0.45268,0.12284,1.3726770651607099,-0.0044086,-0.003890056,0.018459,0.08185,0.1231,11.662269784157901,0.4313,4.38224786020171,0.067592,0.326566190501747,0.29226654766788696,6.94256760677531,13.1306686132562,-0.0038900999999999996,0.21076,0.90535,5.709838862670961,2.56002572548516,8.802707038450539,0.9968064845673291,-23.0734776146752,6.522871158736829,0,0
24,0.024553,0.63121,2.9609502826813103,162.65,0.0,0.7740684252836929,0.96345,0.8581005279999999,0.067648,173.55,0.031361,902.758601972786,3.86744396203018,1.2429999999999999,0.026906,0.021609752000000003,-0.025657999999999997,1.9169,4038.08105,3.1488,-0.35189000000000004,0.0276,3.44661679185302,0.025449,0.022398345,12.054,0.016824000000000002,0.02368,11.6619831288099,0.16846,3.96126449630578,-0.018598,0.0358949967764053,0.0323723163244421,6.94466544024971,13.133244423522502,0.022397,0.025484,0.9725600000000001,5.708922474229831,2.7047213399200696,8.80693041086349,1.48612041988572,1.8000348536936999,6.52294120080776,0,0
25,-1.5034,-0.050605000000000004,0.687918032364362,-26.721999999999998,-0.8651200000000001,2.41951185103826,0.092308,-1.656292347,-0.13180999999999998,-246.22,-1.5034,-10879.9246491778,3.0773122605464103,0.78527,-1.1775,-0.14727664599999998,-0.73641,-1.4824,-3.6139,1.7681,0.08892,-0.14727,2.60586980867323,-1.1773,-0.11533111300000001,0.22459,-0.029671,-0.11535,11.661555422184902,-2.5969,3.1437082145731496,-1.3354,0.6458930860312491,0.0767063790828705,6.94249085276467,13.1314777807496,-0.11533,-16.287,1.1473,5.7089225358788,4.929881751228121,8.803955710752119,4.28259316929924,-201.71919770773601,6.52287144621868,0,0
26,0.20154,0.22748000000000002,0.9547877216643879,-15.821,0.55613,0.7851204353813879,0.53128,0.6155192110000001,0.14065,597.0,0.25328,27641.8360277075,4.0010589981661004,1.114,0.28181999999999996,0.173696458,0.70121,0.5009899999999999,1.6051,4.4815,0.20606,0.12432,1.6614419541808998,0.28181999999999996,0.24288546100000002,0.12775,0.048904,0.13833,11.662259362706198,0.67294,4.20304499414493,0.24855,0.344645884024603,0.210552617134781,6.94328804616876,13.145054769375598,0.13818,0.37935,0.86182,5.70927962916478,2.09232692984703,8.80268979035047,1.89359600294885,5.10066819061016,6.522868648319791,0,0
27,-0.01158,0.21138,1.1710938675324098,-32.864000000000004,-0.012156,0.457779847309961,0.68607,-0.078320585,0.042741,4890.4,-0.014028,-3908.2517815215997,5.01462731536579,1.1071,-0.008575200000000002,-0.021124063,0.007866,0.08243400000000001,-1.1653,5.4187,0.5726600000000001,-0.025588999999999997,1.2949737125421599,0.078065,0.142405006,0.14629,0.3623,-0.015643,11.6634428380393,-0.051539999999999996,5.1781291282093,-0.046033,0.164759916609392,0.320074235573471,6.94295406888036,13.131487981696598,0.14240999999999998,0.0,0.87511,5.70957392863123,1.59526801190502,8.80272600082551,0.641545838730653,2.5933863184785695,6.52287633590816,0,0
28,0.18157,0.38748,1.2153040624481102,45.71,0.51371,0.763778509042848,0.60417,0.772150166,0.14357999999999999,394.7,0.22563000000000002,19856.4981551171,3.29275805725891,1.0536,0.23359000000000002,0.162989228,0.64326,0.79019,1.2342,4.2663,0.14294,0.10701,2.01179151816883,0.23359000000000002,0.209685817,0.11375,0.034641000000000005,0.11079000000000001,11.662318358747802,1.2128,3.5116260325981803,0.15648,0.256353930852117,0.143580728477524,6.94368818938426,13.1455623873205,0.10237,0.30053,0.8976299999999999,5.70949106467001,1.6577613200706003,8.80283899108373,2.02585810059128,2.87498709610819,6.52286880065237,0,0
29,0.050138999999999996,0.21174,1.0319805560689799,-30.842,0.18089,0.7168495469207551,0.72006,0.22471954600000002,0.093988,906.77,0.062499,8734.54090100448,4.518707749212299,0.61557,0.031319,0.049368845999999994,0.22816999999999998,0.35809,0.26705,4.7288,0.16233,0.052471000000000004,1.6518841870968601,0.031319,0.030837927999999997,0.34770999999999996,0.11320999999999999,0.026294,11.662392163493099,0.16937,4.57230292683365,-0.018133,0.245390248260938,0.21281034717441802,6.943230042510849,13.1537069936843,0.015399000000000001,0.069632,0.9846,5.708930845910059,2.58536643395419,8.802814841828589,1.2044471318148602,4.79644847454425,6.52286783432459,0,0
30,0.072912,0.2009,0.969535341207778,-357.52,0.0,0.9102609894603759,0.57895,0.268249529,0.096872,1092.2,0.091119,23627.2609779991,4.157006323346811,1.1696,0.08284,0.050194135,0.3377,0.29095,15.697000000000001,5.3469,0.28308,0.066363,1.63428661040349,0.064282,0.044253062999999995,0.043649,0.10597999999999999,0.05703,11.6624923122136,0.29136999999999996,4.24570134274496,0.033245,0.292430779473985,0.217028894847688,6.943084005093059,13.216292604131699,0.044254,0.12594,0.96844,5.709388445275331,1.83664521152911,8.80290873818832,1.4259272008758,7.23046291687407,6.52287399147393,0,0
32,0.28285,0.10405,0.821592724653952,-13.079,0.76873,0.789988460359498,0.46613999999999994,0.7711063229999999,0.15474000000000002,412.34,0.35073000000000004,136831.675401729,3.23667644949371,1.0085,0.35395,0.24154568699999998,0.95339,0.7359600000000001,1.5930000000000002,5.7554,0.12007000000000001,0.13479000000000002,1.7724237329213102,0.35395,0.302263023,0.33200999999999997,0.036846,0.13602999999999998,11.6618472062668,1.6228,3.5044065849059702,0.30206,0.374895928941053,0.18623057329067003,6.94288754967905,13.2424956514381,0.14606,0.6068,0.8539399999999999,5.709484475265289,2.49668287868092,8.80265292605906,1.93133513338494,11.254204709274399,6.52286843298173,0,0
33,0.0070978000000000005,0.06614199999999999,0.8040707437352471,-30.967,-0.16655,0.910502411825549,0.3206,0.020319487,0.025128,6791.0,0.0070978000000000005,428.022165542543,3.7725540201368704,1.4868,0.030641,0.004884255,-0.13241,0.053747,1.0209,3.8883,0.43943999999999994,0.025539,1.6199425450791898,0.037493,0.025800302999999997,0.16325,0.37706999999999996,0.021085,11.6621298778775,0.041956,3.8763274316636496,0.0012226,0.299593350677419,0.220532144557707,6.9423967348611795,13.1324966618175,0.025800999999999998,0.022139,0.9952700000000001,5.71233105536141,2.1612000956775304,8.802891277298581,1.24875919264246,21.9709110701219,6.52287243299889,0,0
34,0.0060674,0.18007,0.821416816892492,-48327.0,0.0,1.859133186147,0.21178000000000002,0.007697597,0.00403,13255.0,0.0060674,301.605624021404,1.27689793434049,1.2982,-0.009422100000000001,0.001126555,0.06886,0.027536,-5.627000000000001,3.6951,0.14517,0.0013149000000000001,2.06076827641421,-0.006505199999999999,-0.0012078430000000001,0.019495,4.2274,-0.0017494,11.661910663784699,0.15903,1.97533024542244,-0.025059,0.581220711687807,0.136225260900981,6.9483010753632,13.133250615757198,-0.0012079,0.02865,1.0031,5.70892246391631,1.9301799470244099,8.80329289216616,5.14084459434409,29.909479646803998,6.52287258227216,0,0
35,0.15014,0.1524,0.982085588491708,-8.0914,0.41795,0.779449181001516,0.71008,0.764643194,0.17513,389.95,0.18655,27197.746665784198,3.83848410209328,1.1031,0.18136,0.130795365,0.52398,0.7982,1.4745,4.7711,0.13664,0.13213,1.79865232548523,0.18136,0.157992857,0.30376,0.035877,0.12845,11.6620720422779,0.8539200000000001,4.03965427651712,0.12064000000000001,0.21830787827057102,0.18094561061402398,6.94300301414609,13.1491570008371,0.12883,0.21144000000000002,0.8711700000000001,5.70913703841827,2.36503863895569,8.802973169035699,1.2056757934164999,7.53215223097113,6.522868609378969,0,0
36,0.028192000000000002,0.42135,1.15952518265562,12.535,-0.16721,1.27981405206073,0.044269,0.098404775,0.05741,2370.2,0.036272000000000006,1544.93358257114,3.88793520989906,1.1067,0.088676,0.010997035,-0.11387,0.14554,1.6272,3.5406,0.3561,0.026637,2.0411424037456296,0.094173,0.03673467,0.12555999999999998,0.15962,0.034591000000000004,11.6622664251895,0.08395599999999999,3.9938554951013,-0.022228,0.31378831953626,0.139126958206681,6.942070470097231,13.1343790986221,0.036735000000000004,0.63683,0.9860899999999999,5.75196537165084,1.9862771966743502,8.80331123612368,2.58059666653605,6.084252996321349,6.52287627267369,0,0
37,-0.14126,-0.056179999999999994,0.679559788611423,-50.295,0.0,1.26355339898269,0.22283000000000003,-0.181808821,-0.044605,-2537.4,-0.14126,-4501.16832570932,3.7917067639134103,0.9429200000000001,-0.13066,-0.056377714,-0.14467,-0.14385,-10.425,3.2504,0.30928,-0.051713,1.4896628940969199,-0.14127,-0.056381705,0.022119,-0.25601,-0.052148,11.6622373136571,-0.4749,3.81341077986642,-0.16016,0.574909666643961,0.25547133192826604,6.94263779768563,13.131285457016098,-0.056277999999999995,-0.63397,1.0506,5.7089254403900895,1.97024731172126,8.802750683785641,2.29996313867402,-44.5995016019936,6.5228713481452205,0,1
