,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr12,Attr13,Attr15,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,class
0,-0.024558,0.30051,0.10733,1.8368,34.382,-0.026711000000000002,-0.020066999999999998,2.2519,1.0667,0.67673,-0.1564556369873694,0.025634,6342.5,3.3276,-0.020066999999999998,-0.029744,26.775,1.0853,0.0086596,-0.02302240554982657,-0.019018,0.67673,0.042607,0.13691,0.14041,4.5645,0.44185,-0.029744,74.015,4.9315,0.028816,0.0086596,0.6944600000000001,0.84898,0.008118121308709102,0.026591,0.21468,0.012835,125.61,98.836,-0.4962,1.451,28.56,-0.028702,-0.026907284147370394,0.78396,0.12825999999999999,0.20278,0.8853,1.1106,3937.6,0.062497,-0.036289,0.9375,0.28816514710445823,13.632,3.693,69.389,8.316700452206456,0.8826,0
1,0.63918,0.0,1.0,?,29.678,-1.1393,0.76052,?,1.1185,1.0,4547.600062402555,0.67994,0,?,0.76052,0.67994,0,?,0.7604,0.5714617791685291,0.60072,-0.50015,?,?,?,1.2218,0,0.67994,0,?,?,0.7604,1.1185,1.0,0.679839070183281,?,0,0.67983,9.6341,9.6341,?,?,0,0.7604,0.679839070183281,?,0.0,0,?,?,16.665,0.67983,0.63918,0.32014,0.0,?,37.886,0,6688.174761738362,?,0
2,-0.44076,0.47723,0.1926,1.4678,34.555,0.0,-0.44076,1.0954,1.5186,0.52277,-1.0706113823507977,-0.24074,-476.47,2.0954,-0.44076,-0.29024,0,0.5004,-0.42986,-0.29024101145792175,0.7447,0.46954,-0.76605,-37.147,0.48672,2.9728,0.31392,-0.28262,76.67,4.7606,4.1068,-0.4413,1.5186,0.58832,-0.2905966021335441,0.029665,-0.044852,-0.28306,142.31,142.31,?,1.4678,0,-0.5050399999999999,-0.33256947188199654,1.2662,0.41169,0.21006,1.3211,1.4867,180.91,-0.29059,-0.84313,1.2871,0.1253706218796029,?,2.5649,98.95,3.6886978066020544,3.8376,0
3,0.11952,0.17679,0.63546,4.5944,117.65,0.25154,0.14875,4.5826,1.1263,0.81017,0.8413937439900447,0.1315,306.88,5.6563,0.14875,0.093023,40.872,0.97491,0.14495,0.10611737547722631,0.31527,0.81017,1.0241,1.0209,3.3846,5.4536,-0.18039,0.093023,45.45,8.0308,0.8199,0.14495,1.6219999999999999,0.81017,0.1286957293793838,2.7023,0.02815,0.090649,76.354,35.482,0.66747,3.5815,46.033,0.083425,0.07406996359762053,4.5944,0.17679,0.12452,4.3151,4.3151,180570.0,0.11211,0.14752,0.88789,0.0160953873878322,8.9302,10.287,40.355,6.370835454494032,8.5169,0
4,0.2304,0.27095,0.23762,2.5745,-26.928,0.61754,0.28269,2.6907,0.80411,0.72905,1.873235703399377,0.39016,315.23,3.6907,0.28269,0.35156,46.043,1.4416,0.28433,0.28652796259218266,0.61655,0.6281899999999999,0.9648700000000001,173.05,0.3886,7.2973,0.33696,0.35156,126.76,3.4578,1.9259,0.36955,0.80411,0.84909,0.4595764261108555,1.1024,0.028638,0.3536,100.84,54.801,2.2714,1.9024,70.95,0.2533,0.3150066533185758,1.4339,0.15091,0.2892,1.1923,1.3886,2.5745,0.45957,0.31602,0.6232,0.1646526301351073,7.9274,6.6605,68.502,5.328407660194818,1.315,0
5,0.15255,0.47011000000000003,0.018859,1.0406,-39.998,0.0,0.15255,1.1272,1.9155,0.52989,0.32859450726979,0.091232,981.88,2.1272,0.15255,0.07964,34.977,1.0724,0.0,0.07963978073610023,0.22983,0.095462,0.37174,0,0.036485,4.0682,0.24418,0.15928,108.6,3.3608,3.319,0.008557500000000001,1.9155,0.52989,0.004467501957713391,0.018452,0.70567,0,90.425,55.448,0.83108,0.64524,42.94,-0.022206,-0.011592795614722004,1.0277,0.46425,0.29755,1.0252,1.0252,220.67,0.18545,0.28788,0.81964,0.011058899016777085,10.436,6.5827,88.464,4.126009693053312,3.7058,0
6,0.036331999999999996,0.25392,0.42075,3.0936,52.16,-0.013645,0.037068000000000004,2.9382,1.5236,0.74608,0.18445461783439493,0.08481,717.26,3.9382,0.037068000000000004,0.024329,51.541,0.96884,0.044479000000000005,0.02384615384615384,0.11615,0.57667,0.50598,2.9467,1.1122,5.053999999999999,0.026201,0.02497,50.076,7.289,5.7688,0.058786,1.5236,0.74608,0.03858361774744027,1.0983,0.06195,0.029193,96.063,44.522,0.16887,2.0231,53.609,-0.04767,-0.03128773956419007,2.4484,0.20096,0.13719,1.9722,1.9722,47646.0,0.038584,0.048697000000000004,0.9765,0.07098434484237617,7.0818,8.1981,48.144,7.581608280254778,4.0276,0
7,0.11767000000000001,0.37332,0.26743,2.3229,18.308,0.14870999999999998,0.14570999999999998,1.6787,1.1986,0.62668,0.7208013851100668,0.18652,833.46,2.6787,0.14570999999999998,0.16624,76.392,1.3816,0.13334000000000001,0.09817286834640414,0.1902,0.62668,0.36282,1.8232,0.50418,4.9982,0.33873,0.16624,100.89,3.6177,0.35716,0.13334000000000001,0.8889100000000001,0.79785,0.11124645419656266,0.6139,0.081222,0.15212,143.86,67.471,0.64144,1.4154,91.56,0.11556,0.09641248122809944,1.2578,0.20215,0.27642,1.1815,1.5042,26632.0,0.16567,0.18777,0.83433,0.27313780557860473,4.778,5.4098,84.179,5.929260450160772,1.6525,0
8,0.034426,0.8457399999999999,0.0003502,1.0006,-64.815,-0.006476999999999999,0.043455,0.18039,1.0484,0.15256,0.0761406644238856,0.10405,2593.5,1.1824,0.043455,0.037987,58.226,1.5275,0.052525,0.03283670354826402,-0.0050601,0.15256,0.13006,0.48136,0.00081645,4.7943,0.73764,0.037987,190.91,1.9119,0.062105,0.052525,1.1552,0.42758999999999997,0.050100152613506296,0.0046148,0.21707,0.045915,181.37,123.14,0.18865,0.68087,61.042,-0.023046,-0.021982067913010304,0.67523,0.57072,0.52303,0.35569,0.99687,21.81,0.046134,0.22565,0.95387,1.813843733613004,6.2687,2.964,182.1,1.836977852537146,2.667,0
9,-0.13918,0.99555,-0.012322,0.98712,-98.196,-0.14454,-0.13918,0.0044739,2.1387,0.004454,-0.1454442853709258,-0.054878,-3096.1,1.0045,-0.13918,-0.065076,97.696,0.85659,-0.11765,-0.06507691588348062,-0.14795,-0.024494,-0.11789,-5.466,-0.22246,3.2373,0.45822,-0.056404,158.17,2.3077,2.2182,-0.06964400000000001,2.1387,0.004454,-0.032563706924767385,0.028436,-0.34625,-0.055011,156.57,58.873,-0.24313,0.38892,94.615,-0.13946,-0.06520783653621358,0.94884,0.95693,0.43333,0.080416,0.080416,-21.282,-0.032564,-31.247,1.0615,8.669959586888222,3.7361,6.1997,163.32,2.234959714921677,38.613,0
