"Attr1","Attr2","Attr3","Attr5","Attr6","Attr7","Attr9","Attr10","Attr12","Attr13","Attr15","Attr17","Attr18","Attr19","Attr20","Attr21","Attr22","Attr24","Attr25","Attr26","Attr27","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr45","Attr46","Attr47","Attr48","Attr49","Attr51","Attr53","Attr54","Attr55","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
-0.024558,0.30051,0.10733,34.382,-0.026711,-0.020067,1.0667,0.67673,-0.15646,0.025634,6342.5,3.3276,-0.020067,-0.029744,26.775,1.0853,0.0086596,-0.019018,0.67673,0.042607,0.13691,4.5645,0.44185,-0.029744,74.015,4.9315,0.028816,0.0086596,0.69446,0.84898,0.012835,0.026591,0.21468,0.012835,125.61,-0.4962,1.451,28.56,-0.028702,-0.042542,0.12826,0.8853,1.1106,3937.6,-0.036289,0.9375,0.25454,13.632,3.693,69.389,5.2602,0.8826,0
0.63918,0,1,29.678,-1.1393,0.76052,1.1185,1,8.4808,0.67994,0,12.677,0.76052,0.67994,0,0.40369,0.7604,0.60072,-0.50015,-0.28075,0,1.2218,0,0.67994,0,29.196,0.073019,0.7604,1.1185,1,0.67983,0.014151,0,0.67983,9.6341,324.61,32.514,0,0.7604,0.67983,0,46.84,154.83,16.665,0.63918,0.32014,0,2174.5,37.886,0,34.242,631.17,0
-0.44076,0.47723,0.1926,34.555,0,-0.44076,1.5186,0.52277,-1.0706,-0.24074,-476.47,2.0954,-0.44076,-0.29024,0,0.5004,-0.42986,0.7447,0.46954,-0.76605,-37.147,2.9728,0.31392,-0.28262,76.67,4.7606,4.1068,-0.4413,1.5186,0.58832,-0.29059,0.029665,-0.044852,-0.28306,142.31,2.1549,1.4678,0,-0.50504,-0.33257,0.41169,1.3211,1.4867,180.91,-0.84313,1.2871,0.12538,6.9664,2.5649,98.95,3.6887,3.8376,0
0.11952,0.17679,0.63546,117.65,0.25154,0.14875,1.1263,0.81017,0.84137,0.1315,306.88,5.6563,0.14875,0.093023,40.872,0.97491,0.14495,0.31527,0.81017,1.0241,1.0209,5.4536,-0.18039,0.093023,45.45,8.0308,0.8199,0.14495,1.622,0.81017,0.090649,2.7023,0.02815,0.090649,76.354,0.66747,3.5815,46.033,0.083425,0.052172,0.17679,4.3151,4.3151,180570,0.14752,0.88789,0,8.9302,10.287,40.355,9.0448,8.5169,0
0.2304,0.27095,0.23762,-26.928,0.61754,0.28269,0.80411,0.72905,1.8732,0.39016,315.23,3.6907,0.28269,0.35156,46.043,1.4416,0.28433,0.61655,0.62819,0.96487,173.05,7.2973,0.33696,0.35156,126.76,3.4578,1.9259,0.36955,0.80411,0.84909,0.45957,1.1024,0.028638,0.3536,100.84,2.2714,1.9024,70.95,0.2533,0.315,0.15091,1.1923,1.3886,2.5745,0.31602,0.6232,0.16465,7.9274,6.6605,68.502,5.3283,1.315,0
0.15255,0.47011,0.018859,-39.998,0,0.15255,1.9155,0.52989,0.32859,0.091232,981.88,2.1272,0.15255,0.07964,34.977,1.0724,0,0.22983,0.095462,0.37174,0,4.0682,0.24418,0.15928,108.6,3.3608,3.319,0.0085575,1.9155,0.52989,0.0044676,0.018452,0.70567,0,90.425,0.83108,0.64524,42.94,-0.022206,-0.011593,0.46425,1.0252,1.0252,220.67,0.28788,0.81964,0,10.436,6.5827,88.464,4.126,3.7058,0
0.036332,0.25392,0.42075,52.16,-0.013645,0.037068,1.5236,0.74608,0.18445,0.08481,717.26,3.9382,0.037068,0.024329,51.541,0.96884,0.044479,0.11615,0.57667,0.50598,2.9467,5.054,0.026201,0.02497,50.076,7.289,5.7688,0.058786,1.5236,0.74608,0.038584,1.0983,0.06195,0.029193,96.063,0.16887,2.0231,53.609,-0.04767,-0.031288,0.20096,1.9722,1.9722,47646,0.048697,0.9765,0,7.0818,8.1981,48.144,7.5815,4.0276,0
0.11767,0.37332,0.26743,18.308,0.14871,0.14571,1.1986,0.62668,0.72082,0.18652,833.46,2.6787,0.14571,0.16624,76.392,1.3816,0.13334,0.1902,0.62668,0.36282,1.8232,4.9982,0.33873,0.16624,100.89,3.6177,0.35716,0.13334,0.88891,0.79785,0.15212,0.6139,0.081222,0.15212,143.86,0.64144,1.4154,91.56,0.11556,0.13184,0.20215,1.1815,1.5042,26632,0.18777,0.83433,0.27314,4.778,5.4098,84.179,4.336,1.6525,0
0.034426,0.84574,0.0003502,-64.815,-0.006477,0.043455,1.0484,0.15256,0.076141,0.10405,2593.5,1.1824,0.043455,0.037987,58.226,1.5275,0.052525,-0.0050601,0.15256,0.13006,0.48136,4.7943,0.73764,0.037987,190.91,1.9119,0.062105,0.052525,1.1552,0.42759,0.045915,0.0046148,0.21707,0.045915,181.37,0.18865,0.68087,61.042,-0.023046,-0.020145,0.57072,0.35569,0.99687,21.81,0.22565,0.95387,1.8027,6.2687,2.964,182.1,2.0044,2.667,0
-0.13918,0.99555,-0.012322,-98.196,-0.14454,-0.13918,2.1387,0.004454,-0.14544,-0.054878,-3096.1,1.0045,-0.13918,-0.065076,97.696,0.85659,-0.11765,-0.14795,-0.024494,-0.11789,-5.466,3.2373,0.45822,-0.056404,158.17,2.3077,2.2182,-0.069644,2.1387,0.004454,-0.032564,0.028436,-0.34625,-0.055011,156.57,-0.24313,0.38892,94.615,-0.13946,-0.065209,0.95693,0.080416,0.080416,-21.282,-31.247,1.0615,0,3.7361,6.1997,163.32,2.2349,38.613,0
